id,doc_id,left,m1,middle,m2,right,title,author,m1_field,m1_start_offset,m1_end_offset,m2_field,m2_start_offset,m2_end_offset,label,title_lower,author_lower,split,author_len,title_len,middle_len
335008070600,264827683473732,"Third Reich and the Jews Longman, (1999): ISBN # 0582327202 Michael Burleigh and Wolfgang Wipperman, The Racial State: Germany, 1933 - 1945 Cambridge University Press (1993): ISBN # 0521398029 Rachel ",Seiffert,", The ",Dark Room," Vintage (2002): ISBN # 0375726322 Ruth Kluger, Still Alive: A Holocaust Girlhood Remembered The Feminist Press (2003): ISBN # 1558614362 Elie Wiesel, Night Hill and Wang (2006): ISBN # 0374500010 Art",Dark Room,Seiffert,Author,518,518,Title,519,520,True,dark room,seiffert,train,8,9,6
3109556349094,692176929423731,"d final exam. Textbooks: Kooreman, Thomas E. and Olga Muvdi Kooreman. Breves Cuentos Hispanos. Segunda Ediciion. ; Englewood Cliffs, New Jersey: Prentice Hall, 1993. Supplementary Text and Reference: ",Dalbor,", John B. and H. Tracy Sturcken. ",Spanish in Review," Workbook. 2nd Ed. New York: John Wiley and Sons, Inc., 1992. Other Materials and Resources: Course Grades: A=90 - 100 B=80 - 89 C=70 - 79 D=60 and less 5 quizzes = 40 pts 5 paragraphs = 20 pts Attend",Spanish in Review,Dalbor,Author,284,284,Title,291,293,False,spanish in review,dalbor,train,6,17,33
8590473253,830474876354605,"ography: Mozart, Beethoven Th 03 Kenner u Liebhaber: Haydn, Piano Trio, XV: 25 Tu 08 guest lecture Dr. Crumbley Dickinson; Steblin Th 10 Mozart, K496: I Tu 15 Mozart, K496: III Th 17 Allanbrook Tu 22 ",symphony,: Stamitz Th 24 ,Haydn,", 45 Tu 29 Mozart, Symphony in g minor, K550: I BREAK Tu Nov 05 Mozart, K551 Th 07 Haydn 101 Tu 12 Beethoven, 9 Th 14 piano concerto: JC Bach Tu 19 Mozart Th 21 string quartet: Boccherini Tu 26 Haydn,",symphony,Haydn,Title,238,238,Author,242,242,False,symphony,haydn,train,5,8,16
463856642957,143297288864865,,McCoy, College of ,Business, Administration TEXAS STATE UNIVERSITY Department of Management MGT 4330 Production and Operations Management Spring 2017 INSTRUCTOR: OFFICE: OFF. HOURS: E - MAIL: Yogesh Lund Round Rock 464 - L Thurs,Business,McCoy,Author,0,0,Title,3,3,False,business,mccoy,train,5,8,12
566936289808,703850650535534,"TLINE CHEM 2000 General Chemistry I ANTICIPATED SEMESTER: Summer, 2014 APPROVAL DATE: 01 / 02 / 2014 General Chemistry I INITIALLY PROPOSED BY: ABEL ON: 07 / 22 / 2011 LAST EDITED: 04 / 04 / 2014 By: ",Heath, PRINTED ON: 09 / 09 / 2017 UNITS TOTAL LECTURE HOURS TOTAL ,LAB, HOURS TOTAL OTHER HOURS TOTAL OUTSIDE CLASS HOURS TOTAL ALL HOURS MIN 5.0 48.0 96.0 0.0 96.0 240.0 MAX 54.0 108.0 0.0 108.0 270.0 Complete Catalog Description CHEM 2000 General Chemistry I Units: 5.0,LAB,Heath,Author,38,38,Title,49,49,False,lab,heath,test,5,3,60
274878542158,58669253264312,am in Organization Development at Illinois Benedictine University and at the Fielding Graduate University in the School of Human and Organization Development. Professor Manning lectures frequently at ,Aalto, University (formerly the ,Helsinki, School of Economics and the Helsinki University of Technology) in Finland and works extensively with faculty colleagues at the Instituto Tecnologico de Destudios Superiores de Occidente in Guadalajar,Helsinki,Aalto,Author,3652,3652,Title,3655,3655,False,helsinki,aalto,train,5,8,26
635655650778,184022168766436,atja Franko Aas 2013 Book Read status Add note Feminism and global justice - Kerry Carrington 2015 Book Read status Add note Criminal justice : local and global - Drake 2010 Book Read status Add note ,Global criminology, - K. ,Jaishankar," 2013 Book Read status Add note Understanding global social policy 2014 Book Read status Add note Crime: local and global - John Muncie , Deborah Talbot , Reece Walters , Open University 2010 Book Rea",Global criminology,Jaishankar,Title,292,293,Author,295,295,True,global criminology,jaishankar,dev,10,18,6
3143916296713,42322607736817,"iards at Half - past Nine (1959). Set in 1958, this novel examines how three generations of a German family confronted the Nazi period and its aftermath. PT2603.O394 B513 1994. [ Böll handout ] Peter ",Schneider,", The ",Wall Jumper," (1983). This novel evokes the situation in divided Berlin in the early 1980s, and attempts to show some of the positive sides of life in East Germany. PT2680.N37 M313 1983. Bernhard Schlink, The Read",Wall Jumper,Schneider,Author,1088,1088,Title,1089,1090,True,wall jumper,schneider,train,9,11,6
2731599489429,32375463478449,"phogenesis, and cancer. Cell Mol Life Sci 71, 479 - 92 (2014). 29. Otey, C.A. and Carpen, O. Alpha - actinin revisited: a fresh look at an old player. Cell Motil Cytoskeleton 58, 104 - 11 (2004). 30. ",Stossel,", T.P. et al. ",Filamins," as integrators of cell mechanics and signalling. Nat Rev Mol Cell Biol 2, 138 - 45 (2001). 31. Eckly, A. et al. Abnormal megakaryocyte morphology and proplatelet formation in mice with megakaryocyte ",Filamins,Stossel,Author,6185,6185,Title,6189,6189,False,filamins,stossel,train,7,8,14
1194001480743,224652559385129,lkin 2001 0745314015 Book Chapter 4 Read status Add note WEEK 11: Global Media: Questions of Imperialism and issues of media ownership: communication flows and global inequalities (SH) 25 items Since ,Tomlinson,"'s (1991) landmark text, ",Cultural Imperialism,", questions have loomed large regarding the scale and pace of global media in terms of its effects, content and circulation. It has been generally suggested in the literature that mediated culture is ",Cultural Imperialism,Tomlinson,Author,4770,4770,Title,4775,4776,True,cultural imperialism,tomlinson,train,9,20,25
